Location,Population,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,13232,17.13
Montenegro,628062,97389,15.51
Czechia,10708982,1630758,15.23
San Marino,33938,5066,14.93
Slovenia,2078932,240292,11.56
Luxembourg,625976,67205,10.74
Bahrain,1701583,176934,10.4
Serbia,6804596,689557,10.13
United States,331002647,32346971,9.77
Israel,8655541,838481,9.69
Sweden,10099270,973604,9.64
Estonia,1326539,122019,9.2
Lithuania,2722291,247269,9.08
Netherlands,17134873,1522973,8.89
Belgium,11589616,990229,8.54
Panama,4314768,364576,8.45
France,68147687,5677835,8.33
Portugal,10196707,836493,8.2
Croatia,4105268,332183,8.09
Hungary,9660350,779348,8.07
Georgia,3989175,310310,7.78
Lebanon,6825442,526578,7.71
Liechtenstein,38137,2926,7.67
Switzerland,8654618,659974,7.63
Spain,46754783,3524077,7.54
Cyprus,875899,65233,7.45
Poland,37846605,2792142,7.38
North Macedonia,2083380,152367,7.31
Armenia,2963234,216064,7.29
Qatar,2881060,205652,7.14
Slovakia,5459643,382211,7
Jordan,10203140,711373,6.97
European Union,444919060,30771214,6.92
Brazil,212559409,14659011,6.9
Austria,9006400,618870,6.87
Malta,441539,30292,6.86
Italy,60461828,4022653,6.65
Argentina,45195777,2977363,6.59
United Kingdom,67886004,4432246,6.53
Kuwait,4270563,273991,6.42
North America,592072204,37529488,6.34
Latvia,1886202,118558,6.29
Chile,19116209,1198245,6.27
Monaco,39244,2454,6.25
Moldova,4033963,250837,6.22
Bosnia and Herzegovina,3280815,198461,6.05
Europe,748680069,44863478,5.99
Seychelles,98340,5873,5.97
Bulgaria,6948445,404380,5.82
Palestine,5101416,296462,5.81
South America,430759772,24878216,5.78
Turkey,84339067,4820591,5.72
Uruguay,3473727,198428,5.71
Colombia,50882884,2859724,5.62
Maldives,540542,29835,5.52
Romania,19237682,1055265,5.49
Peru,32971846,1799445,5.46
Kosovo,1932774,103638,5.36
United Arab Emirates,9890400,520236,5.26
Ireland,4937796,248870,5.04
Costa Rica,5094114,250991,4.93
Ukraine,43733759,2124070,4.86
Albania,2877800,131085,4.56
Denmark,5792203,251249,4.34
Cape Verde,555988,23882,4.3
Germany,83783945,3405365,4.06
Paraguay,7132530,279077,3.91
Belarus,9449321,358738,3.8
Oman,5106622,193253,3.78
Vatican,809,27,3.34
Greece,10423056,345033,3.31
Russia,145934460,4750755,3.26
Canada,37742157,1228367,3.25
Belize,397621,12668,3.19
Azerbaijan,10139175,319109,3.15
Iran,83992953,2499077,2.98
South Africa,59308690,1581210,2.67
Bahamas,393248,10453,2.66
Iraq,40222503,1065199,2.65
Tunisia,11818618,309119,2.62
Bolivia,11673029,303732,2.6
