Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,4/30/21,13232,17.13
Andorra,77265,4/29/21,13198,17.08
Andorra,77265,4/28/21,13148,17.02
Andorra,77265,4/27/21,13121,16.98
Andorra,77265,4/26/21,13083,16.93
Andorra,77265,4/25/21,13060,16.9
Andorra,77265,4/24/21,13024,16.86
Andorra,77265,4/23/21,13007,16.83
Andorra,77265,4/22/21,12942,16.75
Andorra,77265,4/21/21,12917,16.72
Andorra,77265,4/20/21,12874,16.66
Andorra,77265,4/18/21,12805,16.57
Andorra,77265,4/19/21,12805,16.57
Andorra,77265,4/17/21,12771,16.53
Andorra,77265,4/16/21,12712,16.45
Andorra,77265,4/14/21,12641,16.36
Andorra,77265,4/15/21,12641,16.36
Andorra,77265,4/13/21,12614,16.33
Andorra,77265,4/12/21,12581,16.28
Andorra,77265,4/11/21,12545,16.24
Andorra,77265,4/10/21,12497,16.17
Andorra,77265,4/9/21,12456,16.12
Andorra,77265,4/8/21,12409,16.06
Andorra,77265,4/7/21,12363,16
Andorra,77265,4/6/21,12328,15.96
Andorra,77265,4/5/21,12286,15.9
Andorra,77265,4/4/21,12231,15.83
Andorra,77265,4/3/21,12174,15.76
Andorra,77265,4/2/21,12115,15.68
Andorra,77265,4/1/21,12053,15.6
Andorra,77265,3/31/21,12010,15.54
Montenegro,628062,4/30/21,97389,15.51
Montenegro,628062,4/29/21,97257,15.49
Montenegro,628062,4/28/21,97080,15.46
Andorra,77265,3/30/21,11944,15.46
Montenegro,628062,4/27/21,96930,15.43
Montenegro,628062,4/26/21,96779,15.41
Montenegro,628062,4/25/21,96660,15.39
Andorra,77265,3/29/21,11888,15.39
Montenegro,628062,4/24/21,96499,15.36
Montenegro,628062,4/23/21,96348,15.34
Andorra,77265,3/28/21,11850,15.34
Montenegro,628062,4/22/21,96187,15.31
Montenegro,628062,4/21/21,96048,15.29
Andorra,77265,3/27/21,11809,15.28
Montenegro,628062,4/20/21,95894,15.27
Montenegro,628062,4/19/21,95695,15.24
Czechia,10708982,4/30/21,1630758,15.23
Czechia,10708982,4/29/21,1628536,15.21
Montenegro,628062,4/18/21,95551,15.21
Montenegro,628062,4/17/21,95377,15.19
Czechia,10708982,4/28/21,1626033,15.18
Andorra,77265,3/26/21,11732,15.18
Montenegro,628062,4/16/21,95205,15.16
Czechia,10708982,4/27/21,1622777,15.15
Czechia,10708982,4/26/21,1620206,15.13
Andorra,77265,3/25/21,11687,15.13
Montenegro,628062,4/15/21,95042,15.13
Czechia,10708982,4/25/21,1619383,15.12
Czechia,10708982,4/24/21,1618068,15.11
Montenegro,628062,4/14/21,94859,15.1
Czechia,10708982,4/23/21,1615461,15.09
Montenegro,628062,4/13/21,94643,15.07
Czechia,10708982,4/22/21,1612832,15.06
Andorra,77265,3/24/21,11638,15.06
Czechia,10708982,4/21/21,1609861,15.03
Montenegro,628062,4/12/21,94419,15.03
Montenegro,628062,4/11/21,94269,15.01
Czechia,10708982,4/20/21,1606030,15
Andorra,77265,3/23/21,11591,15
Czechia,10708982,4/19/21,1602711,14.97
Montenegro,628062,4/10/21,94035,14.97
Czechia,10708982,4/18/21,1601881,14.96
Czechia,10708982,4/17/21,1600341,14.94
Andorra,77265,3/22/21,11545,14.94
Montenegro,628062,4/9/21,93803,14.94
San Marino,33938,4/30/21,5066,14.93
San Marino,33938,4/28/21,5059,14.91
San Marino,33938,4/29/21,5060,14.91
Andorra,77265,3/21/21,11517,14.91
Czechia,10708982,4/16/21,1597103,14.91
San Marino,33938,4/27/21,5058,14.9
Montenegro,628062,4/8/21,93566,14.9
San Marino,33938,4/26/21,5055,14.89
Czechia,10708982,4/15/21,1593847,14.88
San Marino,33938,4/22/21,5045,14.87
San Marino,33938,4/23/21,5047,14.87
San Marino,33938,4/24/21,5047,14.87
San Marino,33938,4/25/21,5047,14.87
San Marino,33938,4/21/21,5044,14.86
Andorra,77265,3/20/21,11481,14.86
Montenegro,628062,4/7/21,93309,14.86
San Marino,33938,4/20/21,5040,14.85
Czechia,10708982,4/14/21,1590124,14.85
San Marino,33938,4/19/21,5030,14.82
San Marino,33938,4/17/21,5026,14.81
San Marino,33938,4/18/21,5026,14.81
Montenegro,628062,4/6/21,93030,14.81
Czechia,10708982,4/13/21,1585037,14.8
Andorra,77265,3/19/21,11431,14.79
San Marino,33938,4/16/21,5016,14.78
Czechia,10708982,4/12/21,1581184,14.77
Montenegro,628062,4/5/21,92740,14.77
San Marino,33938,4/15/21,5010,14.76
Czechia,10708982,4/11/21,1580189,14.76
Andorra,77265,3/18/21,11393,14.75
Czechia,10708982,4/10/21,1577972,14.74
San Marino,33938,4/14/21,5004,14.74
Montenegro,628062,4/4/21,92519,14.73
Andorra,77265,3/17/21,11360,14.7
Czechia,10708982,4/9/21,1573153,14.69
San Marino,33938,4/13/21,4985,14.69
Montenegro,628062,4/3/21,92222,14.68
Andorra,77265,3/16/21,11319,14.65
Czechia,10708982,4/8/21,1567848,14.64
Montenegro,628062,4/2/21,91906,14.63
San Marino,33938,4/12/21,4962,14.62
Andorra,77265,3/15/21,11289,14.61
San Marino,33938,4/10/21,4956,14.6
San Marino,33938,4/11/21,4956,14.6
Andorra,77265,3/14/21,11266,14.58
Montenegro,628062,4/1/21,91573,14.58
San Marino,33938,4/9/21,4944,14.57
Czechia,10708982,4/7/21,1560777,14.57
Andorra,77265,3/13/21,11228,14.53
San Marino,33938,4/8/21,4932,14.53
Montenegro,628062,3/31/21,91218,14.52
Czechia,10708982,4/6/21,1555245,14.52
Czechia,10708982,4/5/21,1553820,14.51
Czechia,10708982,4/4/21,1551896,14.49
Andorra,77265,3/12/21,11199,14.49
Czechia,10708982,4/3/21,1549734,14.47
Montenegro,628062,3/30/21,90832,14.46
San Marino,33938,4/7/21,4904,14.45
Czechia,10708982,4/2/21,1545865,14.44
Andorra,77265,3/10/21,11130,14.4
Andorra,77265,3/11/21,11130,14.4
Montenegro,628062,3/29/21,90418,14.4
Czechia,10708982,4/1/21,1539617,14.38
Andorra,77265,3/9/21,11089,14.35
Montenegro,628062,3/28/21,90083,14.34
Andorra,77265,3/8/21,11069,14.33
San Marino,33938,4/6/21,4864,14.33
Czechia,10708982,3/31/21,1532332,14.31
Andorra,77265,3/7/21,11042,14.29
Montenegro,628062,3/27/21,89732,14.29
Andorra,77265,3/6/21,11019,14.26
Andorra,77265,3/5/21,10998,14.23
Czechia,10708982,3/30/21,1523668,14.23
Montenegro,628062,3/26/21,89363,14.23
Andorra,77265,3/4/21,10976,14.21
Andorra,77265,3/3/21,10948,14.17
Montenegro,628062,3/25/21,88991,14.17
Czechia,10708982,3/29/21,1516772,14.16
Czechia,10708982,3/28/21,1515029,14.15
Andorra,77265,3/2/21,10908,14.12
Czechia,10708982,3/27/21,1511021,14.11
Montenegro,628062,3/24/21,88550,14.1
Andorra,77265,3/1/21,10889,14.09
San Marino,33938,4/2/21,4775,14.07
San Marino,33938,4/3/21,4775,14.07
San Marino,33938,4/4/21,4775,14.07
San Marino,33938,4/5/21,4775,14.07
Andorra,77265,2/28/21,10866,14.06
Andorra,77265,2/27/21,10849,14.04
Czechia,10708982,3/26/21,1503307,14.04
Montenegro,628062,3/23/21,88116,14.03
Andorra,77265,2/26/21,10822,14.01
Andorra,77265,2/25/21,10799,13.98
Czechia,10708982,3/25/21,1495361,13.96
Andorra,77265,2/24/21,10775,13.95
Montenegro,628062,3/22/21,87638,13.95
San Marino,33938,3/31/21,4730,13.94
San Marino,33938,4/1/21,4730,13.94
Andorra,77265,2/23/21,10739,13.9
Montenegro,628062,3/21/21,87212,13.89
Czechia,10708982,3/24/21,1486510,13.88
Andorra,77265,2/22/21,10712,13.86
Andorra,77265,2/21/21,10699,13.85
Montenegro,628062,3/20/21,86782,13.82
Andorra,77265,2/20/21,10672,13.81
Andorra,77265,2/19/21,10645,13.78
Czechia,10708982,3/23/21,1475538,13.78
San Marino,33938,3/30/21,4678,13.78
Montenegro,628062,3/19/21,86282,13.74
Andorra,77265,2/18/21,10610,13.73
Czechia,10708982,3/21/21,1469547,13.72
Czechia,10708982,3/22/21,1467333,13.7
Andorra,77265,2/17/21,10583,13.7
Andorra,77265,2/16/21,10555,13.66
Montenegro,628062,3/18/21,85774,13.66
San Marino,33938,3/29/21,4631,13.65
Andorra,77265,2/15/21,10538,13.64
Czechia,10708982,3/20/21,1459406,13.63
Andorra,77265,2/14/21,10503,13.59
Montenegro,628062,3/17/21,85253,13.57
San Marino,33938,3/27/21,4603,13.56
San Marino,33938,3/28/21,4603,13.56
Andorra,77265,2/13/21,10463,13.54
Czechia,10708982,3/19/21,1449696,13.54
Andorra,77265,2/12/21,10427,13.5
Montenegro,628062,3/16/21,84700,13.49
Andorra,77265,2/11/21,10391,13.45
Czechia,10708982,3/18/21,1439019,13.44
Andorra,77265,2/10/21,10352,13.4
Montenegro,628062,3/15/21,84163,13.4
